,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling
2021-07-11 22:00:00,39910000.0,39908000.0,39668950.0,39950049.70136103,39750299.45285422,,sell
2021-07-11 23:00:00,39996000.0,39957000.0,39685700.0,39993660.42124375,39793692.11913753,,sell
2021-07-12 00:00:00,40000000.0,39922000.0,39702300.0,40024024.367154635,39823904.24531886,,sell
2021-07-12 01:00:00,40053000.0,39984000.0,39724900.0,40059499.14744913,39859201.65171188,,sell
2021-07-12 02:00:00,39986000.0,39923000.0,39738800.0,40082399.88971262,39881987.89026406,,sell
2021-07-12 03:00:00,39990000.0,39942000.0,39744050.0,40097047.6740642,39896562.435693875,,sell
2021-07-12 04:00:00,39960000.0,39852000.0,39755350.0,40106902.51161249,39906367.999054424,,sell
2021-07-12 05:00:00,39935000.0,39860000.0,39752400.0,40099127.49803662,39898631.86054644,,sell
2021-07-12 06:00:00,40500000.0,40426000.0,39785500.0,40244958.49133861,40043733.69888192,,sell
2021-07-12 07:00:00,40580000.0,40406000.0,39823950.0,40354319.27552513,40152547.679147504,,sell
2021-07-12 08:00:00,40407000.0,40194000.0,39861150.0,40385415.21010488,40183488.134054355,,sell
2021-07-12 09:00:00,40299000.0,40140000.0,39893000.0,40402851.165073015,40200836.90924765,,sell
2021-07-12 10:00:00,40163000.0,40084000.0,39917100.0,40414448.29477519,40212376.05330131,,
2021-07-12 11:00:00,40230000.0,40225000.0,39955400.0,40421186.66903705,40219080.73569187,,sell
2021-07-12 12:00:00,40489000.0,40412000.0,40000300.0,40460019.86893622,40257719.76959154,,sell
2021-07-12 13:00:00,40570000.0,40194000.0,40023700.0,40472136.8640652,40269776.17974488,,sell
2021-07-12 14:00:00,40297000.0,40232000.0,40048100.0,40485425.315502025,40282998.188924514,,sell
2021-07-12 15:00:00,40340000.0,40309000.0,40074900.0,40506903.36256001,40304368.84574721,,sell
2021-07-12 16:00:00,40429000.0,40196000.0,40094950.0,40509109.631060295,40306564.082904994,,sell
2021-07-12 17:00:00,40350000.0,40165000.0,40116550.0,40494724.82729553,40292251.20315905,,sell
2021-07-12 18:00:00,40239000.0,39950000.0,40118650.0,40492389.157561444,40289927.211773634,,
2021-07-12 19:00:00,39951000.0,39755000.0,40108550.0,40510533.22824401,40307980.56210279,,
2021-07-12 20:00:00,39760000.0,39600000.0,40092450.0,40548102.90344851,40345362.38893127,,
2021-07-12 21:00:00,39686000.0,39609000.0,40073700.0,40576560.072616205,40373677.272253126,,
2021-07-12 22:00:00,39685000.0,39644000.0,40059750.0,40594670.308870494,40391696.957326144,,
2021-07-12 23:00:00,39644000.0,39499000.0,40037600.0,40626966.61809634,40423831.78500585,,
2021-07-13 00:00:00,39578000.0,39400000.0,40015000.0,40665796.75863716,40462467.774843976,,
2021-07-13 01:00:00,39495000.0,39257000.0,39984850.0,40716705.11220675,40513121.586645715,,
2021-07-13 02:00:00,39378000.0,39300000.0,39928550.0,40690150.662040845,40486699.90873064,,
2021-07-13 03:00:00,39376000.0,39222000.0,39869350.0,40658264.05041827,40454972.73016618,,
2021-07-13 04:00:00,39451000.0,39001000.0,39809700.0,40672230.20694625,40468869.05591152,,
2021-07-13 05:00:00,39165000.0,39074000.0,39756400.0,40663580.80365841,40460262.89964012,,
2021-07-13 06:00:00,39186000.0,39020000.0,39703200.0,40653269.16091741,40450002.81511282,,
2021-07-13 07:00:00,39270000.0,39216000.0,39652750.0,40593263.15780269,40390296.84201368,,
2021-07-13 08:00:00,39398000.0,39193000.0,39591800.0,40481778.734222576,40279369.840551466,,
2021-07-13 09:00:00,39363000.0,39077000.0,39535950.0,40406797.73579965,40204763.74712065,,
2021-07-13 10:00:00,39170000.0,39149000.0,39481800.0,40303721.39462808,40102202.78765494,,
2021-07-13 11:00:00,39156000.0,39014000.0,39417050.0,40165326.750097744,39964500.11634725,,
2021-07-13 12:00:00,39166000.0,39035000.0,39359000.0,40028864.71532848,39828720.39175183,,
