,open,high,low,close,volume,value,middle,upper,lower
2021-06-15 21:00:00,45868000.0,46600000.0,45816000.0,46288000.0,1724.79344827,79808274109.85606,,,
2021-06-16 01:00:00,46288000.0,47500000.0,46072000.0,46199000.0,1661.35083942,77765360624.53928,,,
2021-06-16 05:00:00,46242000.0,46594000.0,45897000.0,46389000.0,1042.32301501,48334156765.32449,,,
2021-06-16 09:00:00,46409000.0,46500000.0,45780000.0,46107000.0,1452.13962319,66999251875.52014,,,
2021-06-16 13:00:00,46107000.0,46543000.0,45889000.0,46180000.0,1259.12296099,58288878571.74414,,,
2021-06-16 17:00:00,46180000.0,46260000.0,44953000.0,45170000.0,2394.64063196,109176664143.36699,,,
2021-06-16 21:00:00,45172000.0,45684000.0,44952000.0,44995000.0,1913.62764772,86641385879.61562,,,
2021-06-17 01:00:00,44995000.0,46200000.0,44887000.0,45494000.0,2459.28429611,111755977502.1948,,,
2021-06-17 05:00:00,45494000.0,46025000.0,45154000.0,45295000.0,1302.72807183,59317794300.21717,,,
2021-06-17 09:00:00,45306000.0,45661000.0,45114000.0,45400000.0,1702.64773673,77295949547.07983,,,
2021-06-17 13:00:00,45400000.0,45828000.0,45215000.0,45634000.0,2762.76093122,125722049569.28244,,,
2021-06-17 17:00:00,45646000.0,46048000.0,45521000.0,45776000.0,1812.38674315,83055236362.53008,,,
2021-06-17 21:00:00,45776000.0,45786000.0,45236000.0,45650000.0,1766.48352153,80288312974.81493,,,
2021-06-18 01:00:00,45650000.0,45741000.0,44520000.0,44647000.0,1554.10560921,69833002217.21432,,,
2021-06-18 05:00:00,44665000.0,45049000.0,44390000.0,44854000.0,1108.81249824,49568210071.67329,,,
2021-06-18 09:00:00,44823000.0,44945000.0,43703000.0,44347000.0,3564.72608493,157760456765.58698,,,
2021-06-18 13:00:00,44348000.0,44500000.0,43837000.0,44070000.0,1819.17535743,80373333423.33057,,,
2021-06-18 17:00:00,44086000.0,44449000.0,43721000.0,44214000.0,3111.43448256,137376452120.10007,,,
2021-06-18 21:00:00,44214000.0,44358000.0,43305000.0,43308000.0,3086.38824025,135083068969.35178,,,
2021-06-19 01:00:00,43306000.0,43539000.0,42249000.0,42341000.0,1938.46301609,83213080527.38037,45117900.0,47235520.30292695,43000279.69707305
2021-06-19 05:00:00,42341000.0,42800000.0,42191000.0,42599000.0,1641.98783928,69666408187.90451,44933450.0,47254782.963259645,42612117.036740355
2021-06-19 09:00:00,42588000.0,43000000.0,41390000.0,41622000.0,3393.10666421,143339968689.34943,44704600.0,47376576.394475,42032623.605525
2021-06-19 13:00:00,41625000.0,42130000.0,41364000.0,41998000.0,1800.73702834,75248274816.1869,44485050.0,47292441.03270748,41677658.96729252
2021-06-19 17:00:00,41998000.0,42241000.0,41844000.0,42177000.0,914.56512603,38474643388.70824,44288550.0,47167182.31230974,41409917.68769026
2021-06-19 21:00:00,42179000.0,42726000.0,42000000.0,42428000.0,1843.92220131,78173634347.39928,44100950.0,46949446.44364773,41252453.55635227
2021-06-20 01:00:00,42428000.0,42501000.0,41908000.0,42366000.0,646.58807074,27282409378.56827,43960750.0,46863207.751630515,41058292.248369485
2021-06-20 05:00:00,42446000.0,42662000.0,41960000.0,42088000.0,804.88445572,34013958179.03469,43815400.0,46790037.59137144,40840762.40862856
2021-06-20 09:00:00,42088000.0,42443000.0,41510000.0,42018000.0,1958.66072303,82268603095.28046,43641600.0,46609464.61600719,40673735.38399281
2021-06-20 13:00:00,42018000.0,42337000.0,41950000.0,42139000.0,1003.10919428,42258222694.9711,43483800.0,46416917.80228912,40550682.19771088
2021-06-20 17:00:00,42144000.0,42166000.0,40178000.0,40479000.0,4231.40099857,173374906624.8119,43237750.0,46316071.270125225,40159428.729874775
2021-06-20 21:00:00,40479000.0,40980000.0,39785000.0,40838000.0,3639.91491885,146800820273.19037,42997950.0,46037271.217502035,39958628.782497965
2021-06-21 01:00:00,40838000.0,41869000.0,40700000.0,41739000.0,756.7671304,31147141280.26741,42796100.0,45584441.28395174,40007758.71604826
2021-06-21 05:00:00,41754000.0,42342000.0,41560000.0,41842000.0,1594.64293643,66877878762.25938,42605700.0,45075349.1206136,40136050.8793864
2021-06-21 09:00:00,41843000.0,42048000.0,40678000.0,40787000.0,2295.71996844,94771736952.40509,42412700.0,44812999.37606479,40012400.62393521
2021-06-21 13:00:00,40785000.0,40842000.0,38523000.0,39069000.0,6264.79830542,248056439502.12332,42123450.0,44674565.29583274,39572334.70416726
2021-06-21 17:00:00,39069000.0,39485000.0,37900000.0,38530000.0,5723.31894821,221469703346.63162,41832600.0,44630747.23663623,39034452.76336377
2021-06-21 21:00:00,38530000.0,39281000.0,38245000.0,38848000.0,3184.78772669,123790575240.04424,41571500.0,44463563.44110371,38679436.55889629
2021-06-22 01:00:00,38848000.0,39178000.0,38325000.0,38599000.0,1257.4299737,48583781734.01216,41290750.0,44192861.236940995,38388638.763059005
2021-06-22 05:00:00,38599000.0,38850000.0,36802000.0,37393000.0,4376.50641564,164160510212.05746,40995000.0,44219233.30747837,37770766.69252163
2021-06-22 09:00:00,37397000.0,39068000.0,36340000.0,38781000.0,6381.18207093,240698229007.3548,40817000.0,44120455.352075785,37513544.647924215
2021-06-22 13:00:00,38781000.0,38897000.0,37922000.0,38169000.0,2144.58185068,82052182408.95189,40595500.0,43988713.56766558,37202286.43233442
2021-06-22 17:00:00,38169000.0,38174000.0,36400000.0,36602000.0,4496.76291711,166645247253.82758,40344500.0,44137161.52901686,36551838.47098314
